county,lat,lon,month,ghi,dni,temp_air,median_income,county_fips,land_area_sqkm
Hidalgo,26.3017,-98.1633,11,118.06216666666666,121.70805555555556,19.162944444444445,49371,48215,3902
Hidalgo,26.3017,-98.1633,12,125.20004032258065,146.3616129032258,17.63954301075269,49371,48215,3902
Howard,32.3018,-101.4382,1,137.01678763440862,214.46395161290323,8.044704301075269,67243,48227,2336
Howard,32.3018,-101.4382,2,175.01052083333335,249.27244047619047,8.477321428571429,67243,48227,2336
Howard,32.3018,-101.4382,3,227.21165322580646,230.14735215053764,14.311935483870968,67243,48227,2336
Howard,32.3018,-101.4382,4,288.0493055555556,325.9288472222222,18.362069444444444,67243,48227,2336
Howard,32.3018,-101.4382,5,279.777876344086,241.50260752688172,23.464408602150538,67243,48227,2336
Howard,32.3018,-101.4382,6,311.84376388888893,306.1239861111111,28.969666666666665,67243,48227,2336
Howard,32.3018,-101.4382,7,315.52181451612904,326.15904569892473,32.0116129032258,67243,48227,2336
Howard,32.3018,-101.4382,8,291.13813172043007,299.77900537634406,32.71927419354839,67243,48227,2336
Howard,32.3018,-101.4382,9,243.7592638888889,287.90661111111115,28.178541666666664,67243,48227,2336
Howard,32.3018,-101.4382,10,189.80004032258066,259.487123655914,19.229677419354836,67243,48227,2336
Howard,32.3018,-101.4382,11,138.90872222222222,208.78166666666664,12.283972222222221,67243,48227,2336
Howard,32.3018,-101.4382,12,135.6263440860215,253.75075268817204,8.946532258064517,67243,48227,2336
Jefferson,29.8849,-94.1185,1,115.38317204301076,146.05872311827957,13.778239247311829,57294,48245,2344
Jefferson,29.8849,-94.1185,2,142.76427083333334,149.49791666666667,14.51297619047619,57294,48245,2344
Jefferson,29.8849,-94.1185,3,178.51002688172042,149.64122311827958,18.313306451612902,57294,48245,2344
Jefferson,29.8849,-94.1185,4,213.30248611111114,171.9752083333333,19.856944444444444,57294,48245,2344
Jefferson,29.8849,-94.1185,5,239.75057795698925,167.44889784946236,24.603830645161292,57294,48245,2344
Jefferson,29.8849,-94.1185,6,297.28954166666665,266.26726388888886,28.321680555555556,57294,48245,2344
Jefferson,29.8849,-94.1185,7,292.9487634408602,264.31931451612905,30.758655913978494,57294,48245,2344
Jefferson,29.8849,-94.1185,8,283.9613306451613,272.1412231182796,32.71969086021505,57294,48245,2344
Jefferson,29.8849,-94.1185,9,236.176,238.6555,29.51088888888889,57294,48245,2344
Jefferson,29.8849,-94.1185,10,175.51491935483872,192.64227150537636,22.45717741935484,57294,48245,2344
Jefferson,29.8849,-94.1185,11,123.67556944444445,135.59508333333335,16.108597222222222,57294,48245,2344
Jefferson,29.8849,-94.1185,12,128.2545564516129,165.93229838709678,12.670551075268817,57294,48245,2344
Jim Hogg,27.0487,-98.6928,1,138.05423387096775,196.66275537634408,17.255040322580644,42292,48247,2935
Jim Hogg,27.0487,-98.6928,2,172.2291369047619,185.24864583333334,17.927247023809525,42292,48247,2935
Jim Hogg,27.0487,-98.6928,3,187.9117741935484,167.20747311827958,22.98356182795699,42292,48247,2935
Jim Hogg,27.0487,-98.6928,4,200.05191666666667,152.75758333333334,23.88026388888889,42292,48247,2935
Jim Hogg,27.0487,-98.6928,5,234.45799731182797,163.1765053763441,26.8747311827957,42292,48247,2935
Jim Hogg,27.0487,-98.6928,6,315.37925,328.6034305555556,31.85161111111111,42292,48247,2935
Jim Hogg,27.0487,-98.6928,7,299.78514784946236,290.85012096774193,32.15352150537635,42292,48247,2935
Jim Hogg,27.0487,-98.6928,8,291.90830645161293,316.8482392473118,32.07701612903226,42292,48247,2935
Jim Hogg,27.0487,-98.6928,9,264.0008888888889,310.76993055555556,31.05226388888889,42292,48247,2935
Jim Hogg,27.0487,-98.6928,10,163.49130376344087,164.04422043010752,24.96899193548387,42292,48247,2935
Jim Hogg,27.0487,-98.6928,11,121.69988888888889,129.54722222222222,18.25701388888889,42292,48247,2935
Jim Hogg,27.0487,-98.6928,12,127.30462365591397,161.6844623655914,16.484260752688172,42292,48247,2935
Live Oak,28.3517,-98.1158,1,133.92536290322582,194.05568548387095,15.12293010752688,55949,48297,2754
Live Oak,28.3517,-98.1158,2,161.95462797619047,169.90903273809522,15.919017857142856,55949,48297,2754
Live Oak,28.3517,-98.1158,3,178.97913978494626,146.5243817204301,21.524516129032257,55949,48297,2754
Live Oak,28.3517,-98.1158,4,203.96740277777778,150.4497638888889,22.441222222222223,55949,48297,2754
Live Oak,28.3517,-98.1158,5,236.78775537634408,164.57288978494623,25.400067204301077,55949,48297,2754
Live Oak,28.3517,-98.1158,6,309.5137638888889,311.6130277777778,31.21476388888889,55949,48297,2754
Live Oak,28.3517,-98.1158,7,301.2579704301075,287.3571505376344,32.41383064516129,55949,48297,2754
Live Oak,28.3517,-98.1158,8,291.9054301075269,319.90892473118276,32.63895161290323,55949,48297,2754
Live Oak,28.3517,-98.1158,9,257.5712638888889,296.90954166666666,31.41673611111111,55949,48297,2754
Live Oak,28.3517,-98.1158,10,156.2831182795699,144.5907123655914,23.939435483870966,55949,48297,2754
Live Oak,28.3517,-98.1158,11,123.35265277777778,134.80680555555554,17.065291666666667,55949,48297,2754
Live Oak,28.3517,-98.1158,12,127.61212365591398,178.63974462365593,15.05090053763441,55949,48297,2754
Lubbock,33.5779,-101.8552,1,133.13630376344088,208.77443548387095,6.167432795698924,61911,48303,2328
Lubbock,33.5779,-101.8552,2,173.16379464285714,239.66375000000002,7.279092261904762,61911,48303,2328
Lubbock,33.5779,-101.8552,3,228.17353494623654,241.8749059139785,12.143413978494625,61911,48303,2328
Lubbock,33.5779,-101.8552,4,279.5556388888889,313.848125,16.546138888888887,61911,48303,2328
Lubbock,33.5779,-101.8552,5,281.7750134408602,254.81397849462365,21.90456989247312,61911,48303,2328
Lubbock,33.5779,-101.8552,6,305.1516388888889,305.61629166666665,26.716472222222222,61911,48303,2328
Lubbock,33.5779,-101.8552,7,316.57919354838714,332.0977822580645,30.281545698924734,61911,48303,2328
Lubbock,33.5779,-101.8552,8,293.3339112903226,311.99208333333337,30.621881720430107,61911,48303,2328
Lubbock,33.5779,-101.8552,9,242.8798611111111,292.33518055555555,26.143083333333333,61911,48303,2328
Lubbock,33.5779,-101.8552,10,190.40149193548385,272.0052688172043,17.409180107526883,61911,48303,2328
Lubbock,33.5779,-101.8552,11,144.8938611111111,234.02070833333335,10.605236111111111,61911,48303,2328
Lubbock,33.5779,-101.8552,12,132.12725806451613,251.55625,7.168467741935484,61911,48303,2328
Matagorda,28.8027,-95.9738,1,122.57178763440861,152.7140053763441,14.838655913978494,56412,48321,2857
Matagorda,28.8027,-95.9738,2,158.94294642857145,166.65412202380952,15.171934523809526,56412,48321,2857
Matagorda,28.8027,-95.9738,3,179.35833333333335,145.53412634408602,19.855806451612903,56412,48321,2857
Matagorda,28.8027,-95.9738,4,221.66708333333332,182.342875,21.051930555555554,56412,48321,2857
Matagorda,28.8027,-95.9738,5,236.28446236559142,165.53163978494624,24.93837365591398,56412,48321,2857
Matagorda,28.8027,-95.9738,6,306.0347361111111,290.485375,29.141069444444444,56412,48321,2857
Matagorda,28.8027,-95.9738,7,289.1239516129032,257.4689247311828,31.318212365591396,56412,48321,2857
Matagorda,28.8027,-95.9738,8,280.14849462365595,267.72830645161287,32.61284946236559,56412,48321,2857
Matagorda,28.8027,-95.9738,9,240.5955277777778,249.17368055555553,30.623222222222225,56412,48321,2857
Matagorda,28.8027,-95.9738,10,174.13137096774193,192.04228494623655,23.113494623655914,56412,48321,2857
Matagorda,28.8027,-95.9738,11,115.18938888888889,112.74459722222223,16.82513888888889,56412,48321,2857
